Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	RollBegin	RollEnd	StpLossPeriod	BBExch	IBRoot	IBExch	OpenReg	URic	UIB	UR2NIntra	URNEX2d	UEm	ProdWithAsian	Note
N	1101	Corn@CBT	[001010100001]	1	0.05%	19:00	13:20	8	13:15	C A Comdty	C	08:35	12:00	20	Vwap	10	08:35	09:25	08:35	09:25		CBT	ZC	ECBOT		Y	Y	Y	Y	Y	Y	
N	1102	Corn@DCE	[100010001000]	1	0.05%	08:59	16:00	8	16:00	ACA Comdty	DCC	13:40	13:40	12	Vwap	2	13:50	14:50	13:50	14:50		DCE				N	N	N	N	N	N	
N	1103	Maize@EOP	[101001010010]	1	0.16%	10:45	18:30	8	18:30	EPA Comdty	EMA	10:55	10:55	12	Vwap	2	10:50	11:50	11:05	12:05		EOP	EMA	MATIF		Y	Y	N	Y	N	N	
N	1201	Cotton@ZCE	[101010101010]	1	0.05%	21:00	15:00	8	15:00	VVA Comdty		13:40	13:40	12	Vwap	2	13:50	14:50	13:50	14:50		ZCE				N	N	N	N	N	N	
N	1202	Cotton No. 2@NYB	[001010100001]	1	0.05%	21:00	14:20	8	14:15	CTA Comdty	CT	08:00	12:00	20	Vwap	10	21:00	03:00	08:15	09:15	1	NYB	CT	NYBOT	21:00	Y	Y	Y	Y	Y	Y	
N	1301	Palm Oil@DCE	[100010001000]	1	0.05%	21:00	16:00	8	16:00	PALA Comdty	DCP	13:40	13:40	12	Vwap	2	13:50	14:50	13:50	14:50		DCE				N	N	N	N	N	N	liq
N	1302	White Sugar@ZCE	[101010101010]	1	0.05%	21:00	15:00	8	15:00	CBA Comdty		13:40	13:40	12	Vwap	2	13:50	14:50	13:50	14:50		ZCE				N	N	N	N	N	N	
N	1303	Sugar No. 11@NYB	[001010100100]	1	0.05%	03:30	13:00	8	12:55	SBA Comdty	SB	03:35	12:00	20	Vwap	10	03:35	04:45	03:45	04:45	3	NYB	SB	NYBOT		Y	Y	Y	Y	Y	Y	
N	1304	Egg@DCE	[111111001111]	1	0.05%	08:59	16:00	8	16:00	DCEA Comdty		13:40	13:40	12	Vwap	2	13:50	14:50	13:50	14:50		DCE				N	N	N	N	N	N	
N	1305	London Cocoa No. 7@LIF	[001010101001]	1	0.05%	09:30	16:55	8	16:50	QCA Comdty	LCC	09:35	09:35	20	Vwap	10	09:35	11:40	10:40	11:40	3	LIF	C	ICEEUSOFT		Y	Y	Y	Y	Y	Y	Fix BST time
N	1306	Cocoa@NYB	[001010101001]	1	0.05%	04:45	13:30	8	11:50	CCA Comdty	CC	04:50	04:50	20	Vwap	10	04:45	05:45	04:45	05:45	3	NYB	CC	NYBOT		Y	Y	Y	Y	Y	Y	
N	1307	Coffee C@NYB	[001010101001]	1	0.05%	04:15	13:30	8	13:25	KCA Comdty	KC	04:20	04:20	20	Vwap	10	04:20	05:20	04:20	05:20	3	NYB	KC	NYBOT		Y	Y	Y	Y	Y	Y	
N	1308	Robusta Coffee@LIF	[101010101010]	1	0.05%	09:00	17:30	8	17:05	DFA Comdty	LRC	09:05	09:05	20	Vwap	10	09:15	10:15	09:15	10:15	3	LIF	D	ICEEUSOFT		Y	Y	Y	Y	Y	Y	Fix BST time
N	1309	Sugar@LIF	[001010010101]	1	0.05%	08:45	18:00	8	17:05	QWA Comdty	LSU	08:50	08:50	20	Vwap	10	08:50	09:50	08:50	09:50	3	LIF	W	ICEEUSOFT		Y	Y	Y	Y	Y	Y	Fix EDT time
N	1310	Milk@CME	[111111111111]	1	0.05%	17:05	16:00	8	13:10	DAA Comdty	DA	09:15	09:15	12	Vwap	2	09:25	10:25	09:25	10:25		CME	DA	GLOBEX		Y	Y	N	N	N	N	liq
N	1311	FCOJ@NYB	[101010101010]	1	0.05%	08:00	14:00	8	13:30	JOA Comdty	OJ	08:05	08:05	20	Vwap	10	08:15	09:15	08:15	09:15	1	NYB	OJ	NYBOT		Y	Y	Y	Y	Y	Y	
N	1401	Live Cattle@CME	[010101010101]	1	0.05%	08:30	13:05	8	13:00	LCA Comdty	LC	08:35	12:00	20	Vwap	10	08:40	09:50	08:40	09:40	3	CME	LE	GLOBEX	08:30	Y	Y	Y	Y	Y	N	
N	1402	Lean Hogs@CME	[010101010101]	1	0.05%	08:30	13:05	8	13:00	LHA Comdty	LH	08:35	08:35	20	Vwap	10	08:40	09:50	08:50	09:50	3	CME	HE	GLOBEX	08:30	Y	Y	Y	Y	Y	Y	
