Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	BB	RIC	IBRoot	IBExch	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	Trade	URic	UIB	UR2NIntra	URNEX2d	UEm	Note	ProdWithAsian
N	1101	Corn@CBT	[001010101001]	1	0.05%	8:30	13:15	8	C A Comdty	C	ZC	ECBOT	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	1102	Corn@DCE	[100010001000]	1	0.05%	13:30	15:00	8	ACA Comdty	DCC			10	Vwap	2	10	70	N	N	N	N	N	N		N
N	1103	Maize@EOP	[101001010010]	1	0.05%	10:45	18:30	8	EPA Comdty	EMA	EMA	MATIF	10	Vwap	2	10	70	N	Y	Y	N	Y	N		N
N	1201	Cotton@ZCE	[101010101010]	1	0.05%	13:30	15:00	8	VVA Comdty				10	Vwap	2	10	70	N	N	N	N	N	N		N
N	1202	Cotton No. 2@NYB	[001010100001]	1	0.05%	21:00	14:15	8	CTA Comdty	CT	CT	NYBOT	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	1301	Palm Oil@DCE	[100010001000]	1	0.05%	13:30	15:00	8	PALA Comdty	DCP			10	Vwap	2	10	70	N	N	N	N	N	N	liq	N
N	1302	White Sugar@ZCE	[101010101010]	1	0.05%	13:30	15:00	8	CBA Comdty				10	Vwap	2	10	70	N	N	N	N	N	N		N
N	1303	Sugar No. 11@NYB	[001010100100]	1	0.05%	3:30	12:55	8	SBA Comdty	SB	SB	NYBOT	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	1304	Egg@DCE	[111111001111]	1	0.05%	13:30	15:00	8	DCEA Comdty				10	Vwap	2	10	70	N	N	N	N	N	N		N
N	1305	London Cocoa No. 7@LIF	[001010101001]	1	0.05%	9:30	16:50	8	QCA Comdty	LCC	C	ICEEUSOFT	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	1306	Cocoa@NYB	[001010101001]	1	0.05%	4:45	11:50	8	CCA Comdty	CC	CC	NYBOT	10	Vwap	5	10	70	Y	Y	Y	Y	Y	Y		Y
N	1307	Coffee C@NYB	[001010101001]	1	0.05%	4:15	13:25	8	KCA Comdty	KC	KC	NYBOT	10	Vwap	5	10	70	Y	Y	Y	Y	Y	Y		Y
N	1308	Robusta Coffee@LIF	[101010101010]	1	0.05%	9:00	17:30	8	DFA Comdty	LRC	D	ICEEUSOFT	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	1309	Sugar@LIF	[001010010101]	1	0.05%	8:45	17:55	8	QWA Comdty	LSU	W	ICEEUSOFT	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	1310	Milk@CME	[111111111111]	1	0.05%	9:05	13:10	8	DAA Comdty	DA	DA	GLOBEX	10	Vwap	2	10	70	N	Y	Y	N	N	N	liq	N
N	1311	FCOJ@NYB	[101010101010]	1	0.05%	8:00	13:30	8	JOA Comdty	OJ	OJ	NYBOT	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	1401	Live Cattle@CME	[010101010101]	1	0.05%	9:05	13:00	8	LCA Comdty	LC	LE	GLOBEX	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		N
N	1402	Lean Hogs@CME	[010111110101]	1	0.05%	9:05	13:00	8	LHA Comdty	LH	HE	GLOBEX	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	1403	Feeder Cattle@CME	[101110011110]	1	0.05%	9:05	13:00	8	FCA Comdty	FC	GF	GLOBEX	10	Vwap	2	10	70	N	Y	Y	N	Y	N	liq	N
N	1501	Rapeseed@ZCE	[101010111010]	1	0.05%	16:00	20:50	8	ZRRA Comdty				10	Vwap	2	10	70	N	N	N	N	N	N		N
N	1502	Rapeseed Oil@ZCE	[101010101010]	1	0.05%	13:30	15:00	8	ZROA Comdty				10	Vwap	2	10	70	N	N	N	N	N	N		N
N	1503	Canola@WCE	[101010100010]	1	0.05%	19:00	13:15	8	RSA Comdty	RS			10	Vwap	2	10	70	N	N	N	N	N	N		N
N	1504	Euro Rapeseed@EOP	[010010010010]	1	0.05%	10:45	18:30	8	IJA Comdty	COM	ECO	MATIF	10	Vwap	2	10	70	N	Y	Y	N	Y	N		N
N	1505	Early Indica Rice@ZCE	[101010101010]	1	0.05%	13:30	15:00	8	IRIA Comdty				10	Vwap	2	10	70	N	N	N	N	N	N		N
N	1506	Oats@CBT	[001010100001]	1	0.05%	8:30	13:15	8	O A Comdty	O	ZO	ECBOT	10	Vwap	2	10	70	N	Y	Y	N	N	N	liq	N
N	1507	Rough Rice@CBT	[101010101010]	1	0.05%	8:30	13:15	8	RRA Comdty	RR	ZR	ECBOT	10	Vwap	2	10	70	N	Y	Y	N	N	N	liq	N
N	1601	Soymeal@DCE	[100010001000]	1	0.05%	13:30	15:00	8	AEA Comdty	DSM			10	Vwap	2	10	70	N	N	N	N	N	N		N
N	1602	Soybean Oil@DCE	[100010001000]	1	0.05%	13:30	15:00	8	SHA Comdty	DBY			10	Vwap	2	10	70	N	N	N	N	N	N		N
N	1603	Soybean No. 1@DCE	[100010001000]	1	0.05%	13:30	15:00	8	AKA Comdty	DSA			10	Vwap	2	10	70	N	N	N	N	N	N		N
N	1604	Soybean@CBT	[101010111010]	1	0.05%	8:30	13:15	8	S A Comdty	S	ZS	ECBOT	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	1605	Soybean Meal@CBT	[101010111101]	1	0.05%	8:30	13:15	8	SMA Comdty	SM	ZM	ECBOT	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	1606	Soybean Oil@CBT	[101010111101]	1	0.05%	8:30	13:15	8	BOA Comdty	BO	ZL	ECBOT	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	1701	Winter Wheat@CBT	[001010101001]	1	0.05%	8:30	13:15	8	W A Comdty	W	ZW	ECBOT	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	1703	Hard Red Wheat@CBT	[001010101001]	1	0.05%	8:30	13:15	8	KWA Comdty	KW	KE	ECBOT	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	1704	Strong Gluten Wheat@ZCE	[101010101010]	1	0.05%	13:30	15:00	8	VNA Comdty				10	Vwap	2	10	70	N	N	N	N	N	N		N
N	1705	Red Spring Wheat@MGE	[001010101001]	1	0.05%	19:00	13:30	8	MWA Comdty	1MWE			10	Vwap	2	10	70	N	N	N	N	N	N		N
N	1706	Milling Wheat@EOP	[101010000010]	1	0.05%	10:45	18:30	8	CAA Comdty	BL2	EBM	MATIF	10	Vwap	2	10	70	N	Y	Y	N	Y	N		N
N	2101	Coke@DCE	[100010001000]	1	0.05%	13:30	15:00	8	KEEA Comdty	DCJ			10	Vwap	2	10	70	N	N	N	N	N	N		N
N	2102	Coking Coal @DCE	[100010001000]	1	0.05%	13:30	15:00	8	CKCA Comdty				10	Vwap	2	10	70	N	N	N	N	N	N		N
N	2103	Thermal Coal@ZCE	[111111111111]	1	0.05%	13:30	15:00	8	TRCA Comdty				10	Vwap	2	10	70	N	N	N	N	N	N		N
N	2201	Brent Crude Oil@ICE	[111111111111]	1	0.05%	1:00	19:28	8	COA Comdty	LCO	COIL	IPE	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	2202	WTI Crude Oil@NYM	[111111111111]	1	0.05%	9:00	14:30	8	CLA Comdty	CL	CL	NYMEX	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	2203	WTI Crude Oil@ICE	[111111111111]	1	0.05%	1:00	23:00	8	ENA Comdty	WTCL	WTI	IPE	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
N	2301	Natral Gas@NYM	[111111111111]	1	0.05%	9:00	14:30	8	NGA Comdty	NG	NG	NYMEX	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	2302	Natral Gas@ICE	[111111111111]	1	0.05%	7:00	17:00	8	FNA Comdty		NGF	IPE	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
N	2401	Gasoil@ICE	[111111111111]	1	0.05%	1:00	16:27	8	QSA Comdty	LGO	GOIL	IPE	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	2402	Heating Oil@NYM	[111111111111]	1	0.05%	9:00	14:30	8	HOA Comdty	HO	HO	NYMEX	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	2403	Gasoline RBOB@NYM	[111111111111]	1	0.05%	9:00	14:30	8	XBA Comdty	RB	RB	NYMEX	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	2404	Heating Oil@ICE	[111111111111]	1	0.05%	1:00	23:00	8	NVA Comdty	LHO	HOIL	IPE	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
N	2405	Gasoline RBOB@ICE	[111111111111]	1	0.05%	1:00	23:00	8	PGA Comdty	LRB	RBOT	IPE	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
N	2406	Bitumen@SHF	[111111111111]	1	0.05%	13:30	15:00	8	BITA Comdty				10	Vwap	2	10	70	N	N	N	N	N	N		N
Y	3101	10-year US Treasury@CBT	[001001001001]	1	0.01%	7:20	14:00	8	TYA Comdty	ZN	ZN	ECBOT	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
Y	3102	Euro Bund@EUX	[001001001001]	1	0.01%	8:00	17:15	8	RXA Comdty	FGBL	GBL	DTB	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
Y	3103	5-year US Treasury@CBT	[001001001001]	1	0.01%	7:20	14:00	8	FVA Comdty	ZF	ZF	ECBOT	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
Y	3104	Euro Bobl@EUX	[001001001001]	1	0.01%	8:00	17:15	8	OEA Comdty	FGBM	GBM	DTB	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		N
Y	3105	Euro Schatz@EUX	[001001001001]	1	0.01%	8:00	17:15	8	DUA Comdty	FGBS	GBS	DTB	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
Y	3106	30-year US Treasury @CBT	[001001001001]	1	0.01%	7:20	14:00	8	USA Comdty	ZB	ZB	ECBOT	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
Y	3107	Long Gilt@LIF	[001001001001]	1	0.01%	8:00	17:00	8	G A Comdty	FLG	R	LIFFE	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		N
Y	3108	2-Year US Treasury@CBT	[001001001001]	1	0.01%	7:20	14:00	8	TUA Comdty	ZT	ZT	ECBOT	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
Y	3109	3-Year Australian @SFE	[001001001001]	1	0.01%	8:30	16:30	8	YMA Comdty	YTT	YT	SNFE	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
Y	3110	10-Year Australian@SFE	[001001001001]	1	0.01%	8:32	16:30	8	XMA Comdty	YTC	XT	SNFE	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
Y	3111	3-Year Korea@KFE	[001001001001]	1	0.01%	9:00	15:15	8	KEA Comdty	KTB	3KTB	KSE	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
Y	3112	US Treasury Ultra Bond@CBT	[001001001001]	1	0.01%	7:20	14:00	8	WNA Comdty	AUL	UB	ECBOT	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
Y	3113	10-year Canadian Govt Bond@MSE	[001001001001]	1	0.01%	6:00	16:00	8	CNA Comdty	CGB 	CGB	CDE	10	Vwap	2	10	70	Y	Y	Y	Y	Y	N		Y
Y	3114	5-year Canadian Govt Bond@MSE	[001001001001]	1	0.01%	6:00	16:00	8	XQA Comdty	CGF	CGF	CDE	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
Y	3115	10-year Italian Govt Bond@EUX	[001001001001]	1	0.01%	8:00	17:15	8	IKA Comdty	FBTP	BTP	DTB	10	Vwap	2	10	70	N	Y	Y	N	Y	N		N
Y	3116	French Govt Bond@EUX	[001001001001]	1	0.01%	8:00	17:15	8	OATA Comdty	FOAT	OAT	DTB	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
Y	3117	10-year Japan Govt Bond@TSE	[001001001001]	1	0.01%	8:45	15:02	8	JBA Comdty	JGB	JGB	TSEJ	10	Vwap	2	10	70	N	Y	Y	N	N	N		Y
Y	3118	10-Year Korea Treasury Bond@KFE	[001001001001]	1	0.01%	9:00	15:15	8	KAAA Comdty	10TB	FLKTB	KSE	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
Y	3119	Euro Buxl@EUX	[001001001001]	1	0.01%	8:00	17:15	8	UBA Comdty	FGBX	GBX	DTB	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y	new	N
Y	3120	3-year Italian Bond@EUX	[001001001001]	1	0.01%	8:00	19:00	8	BTSA Comdty	FBTS	BTS	DTB	10	Vwap	2	10	70	N	Y	Y	N	N	N	new	N
N	3121	5-year Swedish Govt Bonde@PMI	[001001001001]	1	0.01%	9:00	16:00	8	SKA Comdty				10	Vwap	2	10	70	N	N	N	N	N	N		N
N	3122	2-year Swedish @PMI	[001001001001]	1	0.01%	9:00	17:20	8	SLA Comdty				10	Vwap	2	10	70	N	N	N	N	N	N		N
N	3124	5-year China Govt Bond@CFF	[001001001001]	1	0.01%	13:00	15:15	8	TFCA Comdty				10	Vwap	2	10	70	N	N	N	N	N	N		N
N	3201	USD Index@FNX	[001001001001]	1	0.01%	20:00	15:00	8	DXA Curncy	DX	DX	NYBOT	10	Vwap	10	10	70	Y	Y	Y	Y	Y	Y		Y
N	3202	EUR/GBP@CME	[001001001001]	1	0.01%	7:20	14:00	8	RPA Curncy	RP	RX	GLOBEX	10	Vwap	2	10	70	N	Y	Y	N	Y	N		N
N	3203	EUR/JPY@CME	[001001001001]	1	0.01%	17:00	16:00	8	RYA Curncy	RY	RY	GLOBEX	10	Vwap	2	10	70	N	Y	Y	N	Y	N		N
N	3204	EUR/CHF@CME	[001001001001]	1	0.01%	17:00	16:00	8	RFA Curncy	RF	RF	GLOBEX	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
N	3205	JPY/USD@CME	[001001001001]	1	0.01%	7:20	14:00	8	JYA Curncy	JY	JPY	GLOBEX	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	3206	EUR/USD@CME	[001001001001]	1	0.01%	7:20	14:00	8	ECA Curncy	URO	EUR	GLOBEX	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	3207	GBP/USD@CME	[001001001001]	1	0.01%	7:20	14:00	8	BPA Curncy	BP	GBP	GLOBEX	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	3208	AUD/USD@CME	[001001001001]	1	0.01%	7:20	14:00	8	ADA Curncy	AD	AUD	GLOBEX	10	Twap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	3209	CAD/USD@CME	[001001001001]	1	0.01%	7:20	14:00	8	CDA Curncy	CD	CAD	GLOBEX	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	3210	MXN/USD@CME	[001001001001]	1	0.01%	7:20	14:00	8	PEA Curncy	MP	MXP	GLOBEX	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
N	3211	CHF/USD@CME	[001001001001]	1	0.01%	7:20	14:00	8	SFA Curncy	SF	CHF	GLOBEX	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	3212	NZD/USD@CME	[001001001001]	1	0.01%	7:20	14:00	8	NVA Curncy	NE	NZD	GLOBEX	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
Y	3301	Eurodollar 3Mon@CME	[001001001001]	1	0.01%	7:20	14:00	8	EDA Comdty	ED	GE	GLOBEX	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
Y	3302	Sterling 90 day@LIF	[001001001001]	1	0.01%	7:30	18:00	8	L A Comdty	FSS	L	LIFFE	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
Y	3303	Euribor 3Mon@LIF	[001001001001]	1	0.01%	7:00	21:00	8	ERA Comdty	FEI	I	LIFFE	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
Y	3304	Canadian Bank Bill@MSE	[001001001001]	1	0.01%	6:00	16:00	8	BAA Comdty	BAX	BAX	CDE	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
Y	3305	Australian Bank Bill@SFE	[001001001001]	1	0.01%	8:28	16:30	8	IRA Comdty	YBA	IR	SNFE	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
Y	3306	Swedish IMM@PMI	[001001001001]	1	0.01%	8:30	17:00	8	RAA Comdty				10	Vwap	2	10	70	N	N	N	N	N	N		N
Y	3308	Euroswiss 3 Mon@LIF	[001001001001]	1	0.01%	7:30	18:00	8	ESA Comdty	FES	S	LIFFE	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
Y	3309	FedFund 30 Day@CBT	[111111111111]	1	0.01%	7:20	14:00	8	FFA Comdty	FF	ZQ	ECBOT	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
Y	3310	Interbank Cash Rate 30 Day@SFE	[111111111111]	1	0.01%	8:34	16:30	8	IBA Comdty	YIB	IB	SNFE	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
Y	3311	New Zeal Bank Bill 3 mon@SFE	[001001001001]	1	0.01%	6:30	4:30	8	ZBA Comdty	NBB			10	Vwap	2	10	70	N	N	N	N	N	N		N
Y	3312	Euroyen Tibor 3 Mon@TFX	[001001001001]	1	0.01%	8:45	20:00	8	YEA Comdty	JEY			10	Vwap	2	10	70	N	N	N	N	N	N		N
N	3401	5-year Euro Swapnote@LIF	[001001001001]	1	0.01%	7:00	18:00	8	T A Comdty	FBO	O	LIFFE	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
N	3402	10-Year Swap@CBT	[001001001001]	1	0.01%	7:20	14:00	8	CNPA Comdty	NI	N1U	ECBOT	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
N	3403	2-Year Euro Swapnote@LIF	[001001001001]	1	0.01%	7:00	18:00	8	RWA Comdty	FBS	TWS	LIFFE	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
N	3404	5-Year Swapnote@CBT	[001001001001]	1	0.01%	7:20	14:00	8	CFPA Comdty	IR	F1U	ECBOT	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
N	3405	30-Year Swapnote@CBT	[001001001001]	1	0.01%	7:20	14:00	8	CBPA Comdty	NTT	B1U	ECBOT	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
N	3406	2-Year Swapnote@CBT	[001001001001]	1	0.01%	7:20	14:00	8	CTPA Comdty				10	Vwap	2	10	70	N	N	N	N	N	N		N
N	3407	10-year Euro Swapnotge@LIF	[001001001001]	1	0.01%	7:00	18:00	8	P A Comdty	FBP	P	LIFFE	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
N	3501	E-Mini@CME	[001001001001]	1	0.01%	17:00	15:15	8	ESA Index	ES	ES	GLOBEX	10	Vwap	2	10	70	Y	Y	Y	Y	Y	Y		Y
N	3502	Euro Stoxx 50@EUX	[001001001001]	1	0.01%	7:50	22:00	8	VGA Index	STXE	ESTX50	DTB	10	Vwap	2	10	70	N	Y	Y	N	Y	N		N
N	3503	Nikkei 225@OSE	[111111111111]	1	0.03%	9:00	15:15	8	NOA Index		N255M	OSE.JPN	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
N	3504	CSI 300 China@CFF	[111111111111]	1	0.03%	9:15	15:15	8	IFBA Index				10	Vwap	2	10	70	N	N	N	N	N	N		N
N	3505	Nasdaq 100 E-mini@CME	[001001001001]	1	0.03%	17:00	16:15	8	NQA Index	NQ	NQ	GLOBEX	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
N	3506	Russell 2000 Mini@NYF	[001001001001]	1	0.03%	20:00	16:15	8	RTAA Index	TFS	TF	NYBOT	10	Vwap	2	10	70	Y	Y	Y	Y	Y	N		Y
N	3507	DJ Industrial Average Mini@CBT	[001001001001]	1	0.03%	17:00	16:15	8	DMA Index	YM	YM	ECBOT	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
N	3508	CAC 40@EOP	[111111111111]	1	0.03%	8:00	22:00	8	CFA Index	FCE	CAC40	MONEP	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
N	3509	KOSPI200@KFE	[001001001001]	1	0.03%	9:00	15:15	8	KMA Index	KS	K200	KSE	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
N	3510	Hang Seng China Enterprises@HKG	[111111111111]	1	0.03%	9:15	16:15	8	HCA Index	HCEI	HHI.HK	HKFE	10	Vwap	2	10	70	Y	Y	Y	Y	Y	N		N
N	3511	DAX Index@EUX	[001001001001]	1	0.03%	8:00	17:30	8	GXA Index	FDX	DAX	DTB	10	Vwap	2	10	70	Y	Y	Y	Y	Y	N		Y
N	3512	FTSE China A50@SGX	[111111111111]	1	0.03%	9:00	16:00	8	XUA Index	SFC	XINA50	SGX	10	Vwap	2	10	70	N	Y	Y	N	N	N	liq and gap	N
N	3513	Nikkei 225@SGX	[001001001001]	1	0.03%	7:45	14:30	8	NIA Index	SSI	N225U	SGX	10	Vwap	2	10	70	Y	Y	Y	Y	Y	N		Y
N	3514	FTSE 100@LIF	[001001001001]	1	0.03%	1:00	21:00	8	Z A Index	FFI	Z	LIFFE	10	Vwap	2	10	70	N	Y	Y	N	N	Y		N
N	3515	Hang Seng@HKG	[111111111111]	1	0.03%	9:15	16:15	8	HIA Index	HSI	HSI	HKFE	10	Vwap	2	10	70	Y	Y	Y	Y	Y	N		N
N	3516	MSCI Taiwan@SGX	[111111111111]	1	0.03%	8:45	13:50	8	TWA Index	STW	STW	SGX	10	Vwap	2	10	70	N	Y	Y	N	Y	N		N
N	3517	Nikkei 225@OSE	[001001001001]	1	0.03%	9:00	15:15	8	NKA Index	JNI	N225	OSE.JPN	10	Vwap	2	10	70	N	Y	Y	N	N	N		Y
N	3518	CNX Nifty @SGX	[111111111111]	1	0.03%	9:00	18:15	8	IHA Index	SIN	NIFTY	SGX	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
N	3519	Nikkei 225@CME	[001001001001]	1	0.03%	17:00	16:15	8	NHA Index	NIY	NIY	GLOBEX	10	Vwap	2	10	70	N	Y	Y	N	Y	N		N
N	3520	Euro Stoxx 600 Auto@EUX	[001001001001]	1	0.03%	7:50	22:00	8	EBA Index	FESA	ESA	DTB	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
N	3521	OMXS30@SSE	[111111111111]	1	0.03%	9:00	17:25	8	QCA Index		OMXS30	OMS	10	Vwap	2	10	70	N	Y	Y	N	N	N		N
