MktID	BB	RIC	MarketName	Type	Sub	Sector	Venue	Ccy	PtVal	MinTkSz	Weight	TradableMnth	Cmsn	Slpg	Rollover	IBRoot	IBExch	Country	ExchTimeZone	ExchGMTOffset	PitStartExch	PitEndExch	SettlementWindow	Note
1101	C A Comdty	C	Corn@CBT	FUT		Agriculture/Corn	CBT	USD	50	0.25	1	[001010101001]	0	0	0	ZC	ECBOT	US	America/Chicago	-6	8:30	13:15	13:14:00-13:15:00	
1102	ACA Comdty	DCC	Corn@DCE	FUT		Agriculture/Corn	DCE	CNY	10	1	1	[100010001000]	0	0	-30			CN	Asia/Shanghai	8	13:30	15:00		
1103	EPA Comdty	EMA	Maize@EOP	FUT		Agriculture/Corn	EOP	EUR	50	0.25	1	[101001010010]	0	0	0	EMA	MATIF	FR	Europe/Paris	1	10:45	18:30		
1201	VVA Comdty		Cotton@ZCE	FUT		Agriculture/Fiber	ZCE	CNY	5	5	1	[101010101010]	0	0	0			CN	Asia/Shanghai	8	13:30	15:00		
1202	CTA Comdty	CT	Cotton No. 2@NYB	FUT		Agriculture/Fiber	NYB	USD	500	0.01	1	[001010100001]	0	0	0	CT	NYBOT	US	America/New_York	-5	21:00	14:20	14:14:00-14:15:00	
1301	PALA Comdty	DCP	Palm Oil@DCE	FUT		Agriculture/Food	DCE	CNY	10	2	1	[100010001000]	0	0	-30			CN	Asia/Shanghai	8	13:30	15:00		
1302	CBA Comdty		White Sugar@ZCE	FUT		Agriculture/Food	ZCE	CNY	10	1	1	[101010101010]	0	0	0			CN	Asia/Shanghai	8	13:30	15:00		
1303	SBA Comdty	SB	Sugar No. 11@NYB	FUT		Agriculture/Food	NYB	USD	1120	0.01	1	[001010100100]	0	0	-10	SB	NYBOT	US	America/New_York	-5	3:30	13:00	12:53:00-12:55:00	
1304	DCEA Comdty		Egg@DCE	FUT		Agriculture/Food	DCE	CNY	10	1	1	[111111001111]	0	0	0			CN	Asia/Shanghai	8	13:30	15:00		
1305	QCA Comdty	LCC	London Cocoa No. 7@LIF	FUT		Agriculture/Food	LIF	GBP	10	1	1	[001010101001]	0	0	0	C	ICEEUSOFT	GB	Europe/London	0	9:30	16:50		
